Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
08-05-2000,229374.6593,299359.5206,191512.4535,247336.4158,593269.5771,240239.9431,235158.6267,711252.929,62149.38702,83448.8824
09-05-2000,231301.4064,300916.1901,190516.5888,246025.5328,580454.9542,237957.6637,235628.9439,700939.7616,62012.65837,83056.67265
10-05-2000,233660.6808,293904.8429,187544.53,246886.6222,546150.0665,233269.8977,240129.4568,688813.5037,62465.35078,81453.67887
11-05-2000,235810.359,297490.482,190432.7157,252885.9671,568706.0642,235299.3458,242794.8937,684749.504,63839.5885,83115.33392
12-05-2000,235857.5211,300792.6263,191537.2255,253265.296,577122.9139,236381.7228,242236.4655,686187.478,63035.20968,84262.32552
15-05-2000,241447.3444,300160.9618,195521.1998,257621.4591,588953.9337,240683.8702,246572.4982,701077.7462,63898.79205,86807.04775
16-05-2000,238888.0025,304813.4567,197202.6821,256075.7304,605503.5392,243909.034,247928.6469,708789.6014,63240.63449,86963.30044
17-05-2000,235495.7929,299265.8518,195565.8998,254923.3896,596239.3351,239494.2805,243366.7598,705033.0166,62058.03463,85989.31148
18-05-2000,234483.161,303545.3535,194001.3726,252934.9871,579365.7619,234800.1926,244291.5535,706795.5991,62759.29042,86462.25269
19-05-2000,233803.1598,297261.9647,190548.1482,253390.2701,557813.3555,225384.7049,240456.1761,704392.4941,62803.22192,84707.06896
22-05-2000,234387.6677,284301.343,187232.6104,253922.3897,555024.2888,223874.6274,238772.9829,694883.1954,63468.93608,85020.48511
23-05-2000,233567.3109,282879.8363,184405.398,253008.2691,525552.499,217001.6763,236456.885,693840.8706,62840.59361,84926.96258
24-05-2000,240410.8331,285114.587,187153.0384,252831.1633,544262.168,220625.6043,231467.6447,702375.1133,63362.17054,85742.26142
25-05-2000,238319.2588,277587.5619,184925.9173,249873.0387,534247.7441,219654.8516,229199.2618,702445.3508,62962.98886,84190.32649
26-05-2000,240440.3002,270287.009,182225.9989,249448.2545,535636.7882,220687.2294,227411.5075,698090.1896,63668.17434,84215.58359
